score,plaintext,segment,h,step,key
36.15,BLETHEGOTHEBO,DTRASREYASRDY,20x?,(1, 2),{'D': 'B', 'T': 'L', 'R': 'E', 'A': 'T', 'S': 'H', 'E': 'G', 'Y': 'O'}
38.42,EINGALINGONEN, UOESLUOERO O,11x?,(2, 3),{' ': 'E', 'U': 'I', 'O': 'N', 'E': 'G', 'S': 'A', 'L': 'L', 'R': 'O'}
38.43,THINTICANDITA,HRSEHSFIETSHI,24x?,(1, 2),{'H': 'T', 'R': 'H', 'S': 'I', 'E': 'N', 'F': 'C', 'I': 'A', 'T': 'D'}
38.44,OFTEREDIEDTOI, WIOTOANOAI N,21x?,(2, 3),{' ': 'O', 'W': 'F', 'I': 'T', 'O': 'E', 'T': 'R', 'A': 'D', 'N': 'I'}
38.46,GWASHAVESTAGE,TGNSCNUBSANTB,15x?,(1, 4),{'T': 'G', 'G': 'W', 'N': 'A', 'S': 'S', 'C': 'H', 'U': 'V', 'B': 'E', 'A': 'T'}
38.47,UENTOMENTINUN, UOESLUOERO O,11x?,(2, 3),{' ': 'U', 'U': 'E', 'O': 'N', 'E': 'T', 'S': 'O', 'L': 'M', 'R': 'I'}
38.54,DGOTHERSTOODS, NHODCEAOHH A,11x?,(1, 3),{' ': 'D', 'N': 'G', 'H': 'O', 'O': 'T', 'D': 'H', 'C': 'E', 'E': 'R', 'A': 'S'}
38.62,NCETOAMETHENE,AWRTOMERTURAR,20x?,(1, 4),{'A': 'N', 'W': 'C', 'R': 'E', 'T': 'T', 'O': 'O', 'M': 'A', 'E': 'M', 'U': 'H'}
38.62,ABLEINTHEFLAH, UIADCHSAEI S,11x?,(1, 2),{' ': 'A', 'U': 'B', 'I': 'L', 'A': 'E', 'D': 'I', 'C': 'N', 'H': 'T', 'S': 'H', 'E': 'F'}
38.67,SVETHANSTHESS,HOIAG WHAGIHH,21x?,(2, 3),{'H': 'S', 'O': 'V', 'I': 'E', 'A': 'T', 'G': 'H', ' ': 'A', 'W': 'N'}
38.71,EBLEINTHEALEH,OTEOFCSHOREOH,19x?,(1, 4),{'O': 'E', 'T': 'B', 'E': 'L', 'F': 'I', 'C': 'N', 'S': 'T', 'H': 'H', 'R': 'A'}
38.71,ACTEDAGRESTAR, LONE HANSO A,11x?,(2, 5),{' ': 'A', 'L': 'C', 'O': 'T', 'N': 'E', 'E': 'D', 'H': 'G', 'A': 'R', 'S': 'S'}
38.74,FREENTHEENEFE, WHHEABHHEH H,21x?,(2, 5),{' ': 'F', 'W': 'R', 'H': 'E', 'E': 'N', 'A': 'T', 'B': 'H'}
38.77,CUEENDTHERECH, NEEUDOTEIE T,11x?,(1, 2),{' ': 'C', 'N': 'U', 'E': 'E', 'U': 'N', 'D': 'D', 'O': 'T', 'T': 'H', 'I': 'R'}
38.86,EATASANDASTED, SLSHSNESHL E,11x?,(2, 5),{' ': 'E', 'S': 'A', 'L': 'T', 'H': 'S', 'N': 'N', 'E': 'D'}
38.86,OCIALPINATION,HRTENWTDEPTHD,17x?,(2, 3),{'H': 'O', 'R': 'C', 'T': 'I', 'E': 'A', 'N': 'L', 'W': 'P', 'D': 'N', 'P': 'T'}
38.89,RKETOMMETHERE,RHOCF  OCAORO,13x?,(1, 4),{'R': 'R', 'H': 'K', 'O': 'E', 'C': 'T', 'F': 'O', ' ': 'M', 'A': 'H'}
38.94,ATHEASSTETHAT,ATLIA  TITLAT,22x?,(2, 3),{'A': 'A', 'T': 'T', 'L': 'H', 'I': 'E', ' ': 'S'}
39.01,ONTTHECITYTOI,OJAATG EAMAOE,22x?,(2, 5),{'O': 'O', 'J': 'N', 'A': 'T', 'T': 'H', 'G': 'E', ' ': 'C', 'E': 'I', 'M': 'Y'}
39.04,NEERTHATREENT,E  NOSRON  EO,15x?,(2, 3),{'E': 'N', ' ': 'E', 'N': 'R', 'O': 'T', 'S': 'H', 'R': 'A'}
39.06,NKINGECANDINA,OTEOFCSHOREOH,19x?,(1, 4),{'O': 'N', 'T': 'K', 'E': 'I', 'F': 'G', 'C': 'E', 'S': 'C', 'H': 'A', 'R': 'D'}
39.06,GDUREDTHROUGH, ISKHIOLKDS L,11x?,(1, 3),{' ': 'G', 'I': 'D', 'S': 'U', 'K': 'R', 'H': 'E', 'O': 'T', 'L': 'H', 'D': 'O'}
39.11,OTHISPOSITHOS,SHAIE SEIHASE,15x?,(2, 5),{'S': 'O', 'H': 'T', 'A': 'H', 'I': 'I', 'E': 'S', ' ': 'P'}
39.16,ETHEEGORETHER,EOHEERASEOHES,21x?,(1, 3),{'E': 'E', 'O': 'T', 'H': 'H', 'R': 'G', 'A': 'O', 'S': 'R'}
39.23,NTESTAGESTENE,TOEAOWIEAOETE,24x?,(1, 2),{'T': 'N', 'O': 'T', 'E': 'E', 'A': 'S', 'W': 'A', 'I': 'G'}
39.28,AYTOTHEFOUTAF,HTN NFSA PNHA,11x?,(2, 3),{'H': 'A', 'T': 'Y', 'N': 'T', ' ': 'O', 'F': 'H', 'S': 'E', 'A': 'F', 'P': 'U'}
39.33,RMONTOPENTORE,DTRASREYASRDY,20x?,(1, 2),{'D': 'R', 'T': 'M', 'R': 'O', 'A': 'N', 'S': 'T', 'E': 'P', 'Y': 'E'}
39.37,BLETOACETHEBE, ORTSDFRTMR R,11x?,(1, 3),{' ': 'B', 'O': 'L', 'R': 'E', 'T': 'T', 'S': 'O', 'D': 'A', 'F': 'C', 'M': 'H'}
39.37,ATCHOODTHECAT,UTSNEEATNDSUT,11x?,(2, 5),{'U': 'A', 'T': 'T', 'S': 'C', 'N': 'H', 'E': 'O', 'A': 'D', 'D': 'E'}
39.38,ATTENDEREETAR,T  NGANSNN TS,17x?,(2, 3),{'T': 'A', ' ': 'T', 'N': 'E', 'G': 'N', 'A': 'D', 'S': 'R'}
39.39,NVESTATESBENE,TAEIRFREILETE,22x?,(1, 4),{'T': 'N', 'A': 'V', 'E': 'E', 'I': 'S', 'R': 'T', 'F': 'A', 'L': 'B'}
39.39,OFTERTAGEDTOG,ASLMFLWIMDLAI,19x?,(1, 2),{'A': 'O', 'S': 'F', 'L': 'T', 'M': 'E', 'F': 'R', 'W': 'A', 'I': 'G', 'D': 'D'}
39.40,SEARENCERWASE,VTAETC TEBAVT,11x?,(2, 5),{'V': 'S', 'T': 'E', 'A': 'A', 'E': 'R', 'C': 'N', ' ': 'C', 'B': 'W'}
39.40,TYINGAMINDITI,RNEDICFEDUERE,13x?,(2, 3),{'R': 'T', 'N': 'Y', 'E': 'I', 'D': 'N', 'I': 'G', 'C': 'A', 'F': 'M', 'U': 'D'}
39.40,UTEDASANDHEUN,NWH RYRT EHNT,11x?,(2, 5),{'N': 'U', 'W': 'T', 'H': 'E', ' ': 'D', 'R': 'A', 'Y': 'S', 'T': 'N', 'E': 'H'}
39.40,SONSAREESENSE,DIEDT HHDHEDH,19x?,(2, 5),{'D': 'S', 'I': 'O', 'E': 'N', 'T': 'A', ' ': 'R', 'H': 'E'}
39.40,KLASTHEISMAKI, OCEDSNIELC I,11x?,(1, 2),{' ': 'K', 'O': 'L', 'C': 'A', 'E': 'S', 'D': 'T', 'S': 'H', 'N': 'E', 'I': 'I', 'L': 'M'}
39.42,CKINGOFANTICA,IFRHAEOSHNRIS,22x?,(1, 2),{'I': 'C', 'F': 'K', 'R': 'I', 'H': 'N', 'A': 'G', 'E': 'O', 'O': 'F', 'S': 'A', 'N': 'T'}
39.45,LEARSAVEREALE,ADESREYDSDEAD,11x?,(2, 5),{'A': 'L', 'D': 'E', 'E': 'A', 'S': 'R', 'R': 'S', 'Y': 'V'}
39.45,NYINTERANKINA,OTEOFCSHOREOH,20x?,(1, 4),{'O': 'N', 'T': 'Y', 'E': 'I', 'F': 'T', 'C': 'E', 'S': 'R', 'H': 'A', 'R': 'K'}
39.46,WBANDERANDAWA,EATSIYRTSITET,11x?,(1, 3),{'E': 'W', 'A': 'B', 'T': 'A', 'S': 'N', 'I': 'D', 'Y': 'E', 'R': 'R'}
39.55,SASTABLETESSE,IEIRETNHRHIIH,13x?,(2, 3),{'I': 'S', 'E': 'A', 'R': 'T', 'T': 'B', 'N': 'L', 'H': 'E'}
39.56,HESONAMEOFSHE,NERLSTYELURNE,20x?,(2, 5),{'N': 'H', 'E': 'E', 'R': 'S', 'L': 'O', 'S': 'N', 'T': 'A', 'Y': 'M', 'U': 'F'}
39.57,NUESTANTSPENT, NGHTO THBG T,11x?,(2, 3),{' ': 'N', 'N': 'U', 'G': 'E', 'H': 'S', 'T': 'T', 'O': 'A', 'B': 'P'}
39.58,ONGIVEANINGON,IOTL EAOLOTIO,22x?,(2, 3),{'I': 'O', 'O': 'N', 'T': 'G', 'L': 'I', ' ': 'V', 'E': 'E', 'A': 'A'}
39.61,DYINANCENSIDE, AIMFMTEMPI E,11x?,(2, 3),{' ': 'D', 'A': 'Y', 'I': 'I', 'M': 'N', 'F': 'A', 'T': 'C', 'E': 'E', 'P': 'S'}
39.61,IZEDISANDHEIN,TIO TSNH AOTH,11x?,(2, 3),{'T': 'I', 'I': 'Z', 'O': 'E', ' ': 'D', 'S': 'S', 'N': 'A', 'H': 'N', 'A': 'H'}
39.63,DALTHATSTOLDS, EARFERIRSA I,11x?,(2, 3),{' ': 'D', 'E': 'A', 'A': 'L', 'R': 'T', 'F': 'H', 'I': 'S', 'S': 'O'}
39.64,LARDTHEADERLA,HADT ZOATODHA,11x?,(2, 5),{'H': 'L', 'A': 'A', 'D': 'R', 'T': 'D', ' ': 'T', 'Z': 'H', 'O': 'E'}
39.66,LYANASTINGALI,IYEOEDAUONEIU,24x?,(1, 3),{'I': 'L', 'Y': 'Y', 'E': 'A', 'O': 'N', 'D': 'S', 'A': 'T', 'U': 'I', 'N': 'G'}
39.66,DUNTHATOTANDO,HRSACEADAESHD,24x?,(1, 4),{'H': 'D', 'R': 'U', 'S': 'N', 'A': 'T', 'C': 'H', 'E': 'A', 'D': 'O'}
39.67,FDIRETHERLIFE, TNDEHWEDRN E,21x?,(2, 3),{' ': 'F', 'T': 'D', 'N': 'I', 'D': 'R', 'E': 'E', 'H': 'T', 'W': 'H', 'R': 'L'}
39.68,RSEOFTENOVERN, TENOHEANIE A,11x?,(1, 3),{' ': 'R', 'T': 'S', 'E': 'E', 'N': 'O', 'O': 'F', 'H': 'T', 'A': 'N', 'I': 'V'}
39.74,LLLINESSIALLS,   TIOEETG  E,19x?,(2, 5),{' ': 'L', 'T': 'I', 'I': 'N', 'O': 'E', 'E': 'S', 'G': 'A'}
39.75,DMINCEDANDIDA,ELITFXEATEIEA,19x?,(1, 2),{'E': 'D', 'L': 'M', 'I': 'I', 'T': 'N', 'F': 'C', 'X': 'E', 'A': 'A'}
39.79,EELSETHESALEE,NNOINSTNIEONN,11x?,(2, 5),{'N': 'E', 'O': 'L', 'I': 'S', 'S': 'T', 'T': 'H', 'E': 'A'}
39.82,ATCHAVETHICAT,LFOTLN FTDOLF,11x?,(2, 5),{'L': 'A', 'F': 'T', 'O': 'C', 'T': 'H', 'N': 'V', ' ': 'E', 'D': 'I'}
39.82,LANDOWNEDINLE, TILAKIHLDI H,22x?,(2, 5),{' ': 'L', 'T': 'A', 'I': 'N', 'L': 'D', 'A': 'O', 'K': 'W', 'H': 'E', 'D': 'I'}
39.87,ECHERLIVETHEV,HRNHWYSOHDNHO,20x?,(1, 2),{'H': 'E', 'R': 'C', 'N': 'H', 'W': 'R', 'Y': 'L', 'S': 'I', 'O': 'V', 'D': 'T'}
39.88,ERSERTHRESSER,TRETRHARTEETR,11x?,(2, 5),{'T': 'E', 'R': 'R', 'E': 'S', 'H': 'T', 'A': 'H'}
39.90,CLEASUSEARECE,NGIFTETIFRINI,22x?,(1, 4),{'N': 'C', 'G': 'L', 'I': 'E', 'F': 'A', 'T': 'S', 'E': 'U', 'R': 'R'}
39.91,ESTRALLERETEE,ARIEN  AEAIAA,24x?,(2, 5),{'A': 'E', 'R': 'S', 'I': 'T', 'E': 'R', 'N': 'A', ' ': 'L'}
39.91,SENTHEYETENSE,SEDAWETEAEDSE,11x?,(2, 5),{'S': 'S', 'E': 'E', 'D': 'N', 'A': 'T', 'W': 'H', 'T': 'Y'}
39.93,SSSHEROTHESST,   LERFILE  I,19x?,(2, 3),{' ': 'S', 'L': 'H', 'E': 'E', 'R': 'R', 'F': 'O', 'I': 'T'}
39.94,ERDESSAREADER,EOAE  TOETAEO,22x?,(2, 3),{'E': 'E', 'O': 'R', 'A': 'D', ' ': 'S', 'T': 'A'}
39.97,HUNDEREADONHA,NWH RYRT EHNT,11x?,(2, 5),{'N': 'H', 'W': 'U', 'H': 'N', ' ': 'D', 'R': 'E', 'Y': 'R', 'T': 'A', 'E': 'O'}
39.98,YARESTOBERRYB,LRA DOEI AALI,11x?,(2, 5),{'L': 'Y', 'R': 'A', 'A': 'R', ' ': 'E', 'D': 'S', 'O': 'T', 'E': 'O', 'I': 'B'}
39.99,CKETOLLETHECE,ANETI  ETLEAE,17x?,(2, 5),{'A': 'C', 'N': 'K', 'E': 'E', 'T': 'T', 'I': 'O', ' ': 'L', 'L': 'H'}
40.03,NPROVERIOURNI,MFESTAEOSVEMO,11x?,(1, 4),{'M': 'N', 'F': 'P', 'E': 'R', 'S': 'O', 'T': 'V', 'A': 'E', 'O': 'I', 'V': 'U'}
40.05,NTEINANTIMENT,OENBOUOEBPNOE,11x?,(2, 5),{'O': 'N', 'E': 'T', 'N': 'E', 'B': 'I', 'U': 'A', 'P': 'M'}
40.10,EENSETHESUNEE,EETOEAIEODTEE,24x?,(1, 2),{'E': 'E', 'T': 'N', 'O': 'S', 'A': 'T', 'I': 'H', 'D': 'U'}
40.15,RPOLINGALLORA,ACENGTFINNEAI,19x?,(1, 4),{'A': 'R', 'C': 'P', 'E': 'O', 'N': 'L', 'G': 'I', 'T': 'N', 'F': 'G', 'I': 'A'}
40.24,PLETHIKETHEPE,SFEHDANEHDESE,22x?,(1, 2),{'S': 'P', 'F': 'L', 'E': 'E', 'H': 'T', 'D': 'H', 'A': 'I', 'N': 'K'}
40.25,ESHOBETTOTHET, IEAM TTATE T,11x?,(2, 5),{' ': 'E', 'I': 'S', 'E': 'H', 'A': 'O', 'M': 'B', 'T': 'T'}
40.26,NDWHENISHOWNS, WIEO SHETI H,11x?,(2, 5),{' ': 'N', 'W': 'D', 'I': 'W', 'E': 'H', 'O': 'E', 'S': 'I', 'H': 'S', 'T': 'O'}
40.26,DFINISTINDIDI,SBDMD TDMSDSD,19x?,(2, 3),{'S': 'D', 'B': 'F', 'D': 'I', 'M': 'N', ' ': 'S', 'T': 'T'}
40.27,ANSETHEFEASAF,ALIER ETEAIAT,17x?,(2, 5),{'A': 'A', 'L': 'N', 'I': 'S', 'E': 'E', 'R': 'T', ' ': 'H', 'T': 'F'}
40.29,ONTERPORENTOR,SHAIE SEIHASE,15x?,(2, 5),{'S': 'O', 'H': 'N', 'A': 'T', 'I': 'E', 'E': 'R', ' ': 'P'}
40.29,NBECOMESCHENS,HRTENWTDEPTHD,17x?,(2, 3),{'H': 'N', 'R': 'B', 'T': 'E', 'E': 'C', 'N': 'O', 'W': 'M', 'D': 'S', 'P': 'H'}
40.30,TRAPHEREPLATE,AHLOTEHEOILAE,22x?,(1, 2),{'A': 'T', 'H': 'R', 'L': 'A', 'O': 'P', 'T': 'H', 'E': 'E', 'I': 'L'}
40.33,YONTISTOTANYO, UWOETOUOLW U,11x?,(2, 5),{' ': 'Y', 'U': 'O', 'W': 'N', 'O': 'T', 'E': 'I', 'T': 'S', 'L': 'A'}
40.34,INEDELANDHEIN,TLEWEN LWHETL,22x?,(2, 3),{'T': 'I', 'L': 'N', 'E': 'E', 'W': 'D', 'N': 'L', ' ': 'A', 'H': 'H'}
40.36,ISHECLOSEDHIS,IWHMEO WMUHIW,11x?,(2, 5),{'I': 'I', 'W': 'S', 'H': 'H', 'M': 'E', 'E': 'C', 'O': 'L', ' ': 'O', 'U': 'D'}
40.37,IFWEVENTEDWIT,NASECELPEOSNP,22x?,(1, 2),{'N': 'I', 'A': 'F', 'S': 'W', 'E': 'E', 'C': 'V', 'L': 'N', 'P': 'T', 'O': 'D'}
40.38,RKESTSINSTERN, IEOAONTOAE T,11x?,(1, 2),{' ': 'R', 'I': 'K', 'E': 'E', 'O': 'S', 'A': 'T', 'N': 'I', 'T': 'N'}
40.40,ARLINTSWILLAW,IO ECFRHE  IH,15x?,(2, 5),{'I': 'A', 'O': 'R', ' ': 'L', 'E': 'I', 'C': 'N', 'F': 'T', 'R': 'S', 'H': 'W'}
40.42,HATEVERCERTHC, WIOTOANOAI N,21x?,(2, 3),{' ': 'H', 'W': 'A', 'I': 'T', 'O': 'E', 'T': 'V', 'A': 'R', 'N': 'C'}
40.44,HATONTHROMTHR,IGSEOSITEUSIT,13x?,(1, 2),{'I': 'H', 'G': 'A', 'S': 'T', 'E': 'O', 'O': 'N', 'T': 'R', 'U': 'M'}
40.46,PTHESABLETHPL,SANEHUDTEANST,20x?,(1, 2),{'S': 'P', 'A': 'T', 'N': 'H', 'E': 'E', 'H': 'S', 'U': 'A', 'D': 'B', 'T': 'L'}
40.51,NTERIEFEREENE,E TARTOTATTET,13x?,(2, 5),{'E': 'N', ' ': 'T', 'T': 'E', 'A': 'R', 'R': 'I', 'O': 'F'}
40.53,ECONDELINTOEI,HRWALHNDAOWHD,11x?,(1, 2),{'H': 'E', 'R': 'C', 'W': 'O', 'A': 'N', 'L': 'D', 'N': 'L', 'D': 'I', 'O': 'T'}
40.53,KSANDHEINMAKI,ESDNPFOTNADET,17x?,(1, 2),{'E': 'K', 'S': 'S', 'D': 'A', 'N': 'N', 'P': 'D', 'F': 'H', 'O': 'E', 'T': 'I', 'A': 'M'}
40.54,SWATCOUNTHASN, OSHINGRHYS R,11x?,(2, 5),{' ': 'S', 'O': 'W', 'S': 'A', 'H': 'T', 'I': 'C', 'N': 'O', 'G': 'U', 'R': 'N', 'Y': 'H'}
40.54,MEDAMILEANDME,OITAOCYIA TOI,22x?,(2, 3),{'O': 'M', 'I': 'E', 'T': 'D', 'A': 'A', 'C': 'I', 'Y': 'L', ' ': 'N'}
40.55,TTATENGETHATE,NNANTKHTNMANT,19x?,(1, 4),{'N': 'T', 'A': 'A', 'T': 'E', 'K': 'N', 'H': 'G', 'M': 'H'}
40.55,SFLENTTHEALSH,TELADOOHANLTH,20x?,(1, 2),{'T': 'S', 'E': 'F', 'L': 'L', 'A': 'E', 'D': 'N', 'O': 'T', 'H': 'H', 'N': 'A'}
40.55,LVESINDISTELI,LDSTEVAETOSLE,19x?,(1, 4),{'L': 'L', 'D': 'V', 'S': 'E', 'T': 'S', 'E': 'I', 'V': 'N', 'A': 'D', 'O': 'T'}
40.57,OSTSECAUSETOU,OIEICS TICEOT,17x?,(2, 5),{'O': 'O', 'I': 'S', 'E': 'T', 'C': 'E', 'S': 'C', ' ': 'A', 'T': 'U'}
40.57,INFORCENOFFIN,HISEM TIESSHI,11x?,(1, 4),{'H': 'I', 'I': 'N', 'S': 'F', 'E': 'O', 'M': 'R', ' ': 'C', 'T': 'E'}
40.58,BLANDFRONGABO,TIRKGYVHKMRTH,11x?,(1, 3),{'T': 'B', 'I': 'L', 'R': 'A', 'K': 'N', 'G': 'D', 'Y': 'F', 'V': 'R', 'H': 'O', 'M': 'G'}
40.58,LEASTHENSUALN,ONTEUCNHEYTOH,22x?,(1, 4),{'O': 'L', 'N': 'E', 'T': 'A', 'E': 'S', 'U': 'T', 'C': 'H', 'H': 'N', 'Y': 'U'}
40.59,TDATLECTTHATT,AHGAKPNAAIGAA,24x?,(1, 2),{'A': 'T', 'H': 'D', 'G': 'A', 'K': 'L', 'P': 'E', 'N': 'C', 'I': 'H'}
40.59,OUREATEMEFROM,E AIRFIHIUAEH,15x?,(2, 3),{'E': 'O', ' ': 'U', 'A': 'R', 'I': 'E', 'R': 'A', 'F': 'T', 'H': 'M', 'U': 'F'}
40.61,TMENTITINEETI,EY SENENS  EN,15x?,(2, 5),{'E': 'T', 'Y': 'M', ' ': 'E', 'S': 'N', 'N': 'I'}
40.64,NTINATBANDINA,IESITEFTINSIT,19x?,(1, 4),{'I': 'N', 'E': 'T', 'S': 'I', 'T': 'A', 'F': 'B', 'N': 'D'}
40.64,ESHELDBEETHEE,ETHEBVPEEOHEE,24x?,(2, 3),{'E': 'E', 'T': 'S', 'H': 'H', 'B': 'L', 'V': 'D', 'P': 'B', 'O': 'T'}
40.64,ISTRUSCORATIO, ISKHIOLKDS L,11x?,(1, 3),{' ': 'I', 'I': 'S', 'S': 'T', 'K': 'R', 'H': 'U', 'O': 'C', 'L': 'O', 'D': 'A'}
40.66,NKINTOWINNINI,OITOFCATOOTOT,20x?,(1, 2),{'O': 'N', 'I': 'K', 'T': 'I', 'F': 'T', 'C': 'O', 'A': 'W'}
40.67,YTEATIONALEYN,PAREA TIEBRPI,11x?,(2, 3),{'P': 'Y', 'A': 'T', 'R': 'E', 'E': 'A', ' ': 'I', 'T': 'O', 'I': 'N', 'B': 'L'}
40.67,CHOOSITIONOCI, UTTIOAOTHT O,11x?,(1, 3),{' ': 'C', 'U': 'H', 'T': 'O', 'I': 'S', 'O': 'I', 'A': 'T', 'H': 'N'}
40.70,IZEDANANDSEIN,NPSOIAIAOTSNA,24x?,(1, 3),{'N': 'I', 'P': 'Z', 'S': 'E', 'O': 'D', 'I': 'A', 'A': 'N', 'T': 'S'}
40.73,TUTEDITIENTTI,EDEA TETAOEET,17x?,(1, 3),{'E': 'T', 'D': 'U', 'A': 'E', ' ': 'D', 'T': 'I', 'O': 'N'}
40.74,NCEONESTOBENT,RVBERB TEOBRT,15x?,(2, 3),{'R': 'N', 'V': 'C', 'B': 'E', 'E': 'O', ' ': 'S', 'T': 'T', 'O': 'B'}
40.74,OSTOMALFORTOF,SUESLDMNSAESN,11x?,(1, 2),{'S': 'O', 'U': 'S', 'E': 'T', 'L': 'M', 'D': 'A', 'M': 'L', 'N': 'F', 'A': 'R'}
40.75,OISHESOFHISOF,ORTAHTODARTOD,15x?,(1, 4),{'O': 'O', 'R': 'I', 'T': 'S', 'A': 'H', 'H': 'E', 'D': 'F'}
40.76,PWANTTHINGAPI, HEAOOGNASE N,11x?,(1, 2),{' ': 'P', 'H': 'W', 'E': 'A', 'A': 'N', 'O': 'T', 'G': 'H', 'N': 'I', 'S': 'G'}
40.76,RGESCOVESHERE,RNEDICFEDUERE,13x?,(2, 3),{'R': 'R', 'N': 'G', 'E': 'E', 'D': 'S', 'I': 'C', 'C': 'O', 'F': 'V', 'U': 'H'}
40.77,MEETRICHTHEMH, TTHRGNEHET E,11x?,(1, 2),{' ': 'M', 'T': 'E', 'H': 'T', 'R': 'R', 'G': 'I', 'N': 'C', 'E': 'H'}
40.77,ETENDSTANCEEA,EIEMCUIOMHEEO,13x?,(1, 3),{'E': 'E', 'I': 'T', 'M': 'N', 'C': 'D', 'U': 'S', 'O': 'A', 'H': 'C'}
40.78,ECHERFUSETHES,HTDHW AEHRDHE,19x?,(1, 2),{'H': 'E', 'T': 'C', 'D': 'H', 'W': 'R', ' ': 'F', 'A': 'U', 'E': 'S', 'R': 'T'}
40.79,UMMENTEREEMUR, EEMOGMDMME D,11x?,(1, 4),{' ': 'U', 'E': 'M', 'M': 'E', 'O': 'N', 'G': 'T', 'D': 'R'}
40.80,KSORTTHEROOKE,ROIN  EDNIIRD,17x?,(2, 3),{'R': 'K', 'O': 'S', 'I': 'O', 'N': 'R', ' ': 'T', 'E': 'H', 'D': 'E'}
40.82,BSESTHEESHEBE, LOLWNOOLNO O,11x?,(1, 2),{' ': 'B', 'L': 'S', 'O': 'E', 'W': 'T', 'N': 'H'}
40.83,LGATISISTRALS,NPSOIAIAOTSNA,21x?,(1, 3),{'N': 'L', 'P': 'G', 'S': 'A', 'O': 'T', 'I': 'I', 'A': 'S', 'T': 'R'}
40.85,MEOFTONTFROMT,RMHWEHTEWAHRE,22x?,(1, 2),{'R': 'M', 'M': 'E', 'H': 'O', 'W': 'F', 'E': 'T', 'T': 'N', 'A': 'R'}
