restart,score,plaintext
459,-188.1736702327651,HEREDBLHAAFAISHXADUDMVHSVEUCGZL
466,-188.1736702327651,HEREBOKHVVPVTXHWVBQBZCHXCEQFSDK
470,-188.1736702327651,AFJFEZMAHHSHGDAQHEREKPADPFROIYM
480,-188.1736702327651,VWQWEKOVHHJHBPVXHEREDMVPMWRSCZO
486,-188.1736702327651,HEREXUFHGGCGZIHKGXYXPBHIBEYMQVF
331,-195.15842251088048,RQOQGTHREEKEMFRLEGZGBSRFSQZYVJH
293,-201.0037776740854,IEFEJXAINNMNBTIONJRJCHITHERPVZA
75,-201.00377767408543,LTYTIONLCCGCFULKCIHIMZLUZTHERXN
11,-208.05796925088183,VIFIBZJVSSLSCYVQSBOBKTVYTIONAHJ
24,-208.05796925088183,OLDLBMQOGGSGTIONGBJBFYOIYLJXEWQ
34,-208.05796925088183,OCRCZQLOMMAMENOFMZDZTIONICDUGBL
59,-208.05796925088183,ORJRDQAOFFLFXNOSFDZDTIONIRZGYUA
62,-208.05796925088183,NWCWUMYNTTXTIONBTUFURQNOQWFALPY
145,-208.05796925088183,NDRDECSNTTATIONKTEMEVXNOXDMFPZS
147,-208.05796925088183,MDGDOFQMIIBIXJMTIONOPKMJKDNYUEQ
151,-208.05796925088183,MIJIAEDMLLXLYGMSLAOAQTMGTIONKWD
213,-208.05796925088183,NFCFUAQNTTZTIONYTUSUPDNODFSHVJQ
219,-208.05796925088183,JDSDHYVJMMXMFKJRMHTHQPJKPDTIONV
223,-208.05796925088183,QIBIAYXQFFKFUHQEFAOAPTQHTIONVMX
227,-208.05796925088183,WOAOCYKWEEMEPTWFECNCLIWTIONBUSK
236,-208.05796925088183,TMYMNSXTOOVOKGTIONQNZUTGUMQJPFX
255,-208.05796925088183,GUCUOKQGIIYIZFGTIONOPSGFSUNVEAQ
266,-208.05796925088183,AODOFKUACCMCZTARCFNFLIATIONBXJU
275,-208.05796925088183,NWLWBSDNTTUTIONRTBYBZFNOFWYEGAD
286,-208.05796925088183,XPYPCENXFFQFZDXRFCUCAKXDKPUTION
311,-208.05796925088183,APRPXVNALLHLJMADLXKXFQAMQPKTION
333,-208.05796925088183,KGUGOSLKIIJIBPKTIONODHKPHGNXYCL
346,-208.05796925088183,NLELTVYNAAKAGJNFATMTIONJOLMRBUY
359,-208.05796925088183,NMJMTFENDDPDZGNADTQTIONGOMQLWCE
379,-208.05796925088183,IELEVXFINNYNCTIONVJVSKITKEJZHGF
385,-208.05796925088183,UQWQSPAUBBEBGVUDBSTSKMUVMQTIONA
402,-208.05796925088183,NMLMTHZNUUXURDNFUTYTIONDOMYSKVZ
419,-208.05796925088183,KSASZVNKBBMBCDKYBZPZEXKDXSPTION
424,-208.05796925088183,TJWJNZVTOOSOFMTIONENLPTMPJEKCDV
444,-208.05796925088183,LZUZQBNLXXRXACLSXQYQWKLCKZYTION
447,-208.05796925088183,YIQIZDXYLLRLWAYJLZOZPTYATIONEKX
454,-208.05796925088183,UEKEIMPUSSASYLUZSITIONULNETCXJP
461,-208.05796925088183,JTCTDRXJZZYZWVJPZDIDFSJVSTIONBX
467,-208.05796925088183,QIEIBGRQXXKXJCQFXBOBSTQCTIONAYR
476,-208.05796925088183,NFQFJYLNTTCTIONXTJSJZKNOKFSAEVL
47,-208.05796925088185,ZITIONLZCCGCFMZECOWOSRZMRIWQVKL
70,-208.05796925088185,OHBHFTIONNVNQAOCNFSFZXOAXHSRMJI
84,-208.05796925088185,OCGCQTIONNBNMVOPNQYQXKOVKCYUEAI
160,-208.05796925088185,KITIONMKUUSUJZKDUOFOHCKZCIFAPVM
302,-208.05796925088185,VTZTIONVXXCXKEVFXIMIYLVELTMSQJN
426,-208.05796925088185,OKXKATIONNZNPDOYNAGAMEODEKGULBI
460,-208.05796925088185,NVXVTIONWWMWEANSWTGTDJNAJVGYKRO
65,-208.10423093408406,AYMYLZUASSOSWNABSLTLXKANKYTHERU
103,-208.10423093408406,TMXMRDJTEEQENUTHERLRKYTUYMLSGCJ
127,-208.10423093408406,EGAGUBDEYYPYLREWYUVUTHERHGVCJND
221,-208.10423093408406,JENELWXJOOKOQTJPOLRLFHJTHERYDUX
320,-208.10423093408406,QHDHSJYQIIAIOCQVISESBTQCTHERPUY
332,-208.10423093408406,TRJRXUPTCCOCVHTFCXNXGETHERNLWBP
491,-208.10423093408406,JYOYLXQJBBPBNUJWBLTLKZJUZYTHERQ
58,-208.2702992035826,TZPZIGHTXXMXCFTJXILISOTFOZLYQEH
82,-208.2702992035826,ITUTMFKIBBZBVGIQBMOMEHIGHTOPJAK
177,-208.2702992035826,QIJIGHTQYYPYRMQOYGDGXUQMUIDVABT
186,-208.2702992035826,KGIGHTLKRRYRFMKZRHNHVUKMUGNCADL
199,-208.2702992035826,ZNFNGDAZUUXUYQZKUGIGHTZQTNIMPSA
226,-208.2702992035826,HALAMBPHFFQFDTHOFMSMIGHTGASKUXP
233,-208.2702992035826,IPQPTDOIHHRHXSIGHTYTCMISMPYKVUO
259,-208.2702992035826,MYFYGAZMSSUSCQMJSGIGHTMQTYIODVZ
280,-208.2702992035826,PGJGCKUPNNANSYPLNCHCEIPYIGHTDZU
319,-208.2702992035826,ZHCHKUDZFFEFPIZJFKTKXGZIGHTQABD
345,-208.2702992035826,KVYVXQFKGGIGHTKPGXCXDBKTBVCELUF
412,-208.2702992035826,VIJIUXFVZZQZASVKZUGUBOVSOIGHTLF
428,-208.2702992035826,MCVCLFTMPPJPBXMQPLULKNMXNCUIGHT
490,-208.2702992035826,YIDIOQJYBBCBMSYFBOGOAXYSXIGHTPJ
2,-215.15842251088048,OVRVNBDOAAMAHYOJANWNTCOYCVWPUFD
5,-215.15842251088048,WFIFODNWAAPAXZWEAOBOQKWZKFBGSLN
6,-215.15842251088048,MOHOSCNMRRLRPIMVRSUSXAMIAOUDBZN
9,-215.15842251088048,REAEJNGRPPCPFBRWPJUJQIRBIEUMOSG
10,-215.15842251088048,FGKGXCZFBBABDMFSBXUXTNFMNGUIRPZ
12,-215.15842251088048,HASAWUMHRRQRZXHCRWOWVKHXKAONJBM
14,-215.15842251088048,WRNRXCTWFFPFJBWLFXMXSIWBIRMQEZT
17,-215.15842251088048,WOEOPJSWKKCKBFWMKPGPHXWFXOGYNAS
18,-215.15842251088048,HGCGWYLHEEDEBSHXEWVWNPHSPGVKOIL
19,-215.15842251088048,ELKLNGQECCJCFMEOCNRNWYEMYLRZAUQ
20,-215.15842251088048,ESKSFTNEOOXOCHEJOFVFBPEHPSVYUGN
21,-215.15842251088048,VQFQCZKVRRTRXMVDRCSCOWVMWQSGLPK
26,-215.15842251088048,GKNKJIHGXXEXLUGYXJSJOAGUAKSBPCH
27,-215.15842251088048,OZLZADYOEEWESNOUEACAMFONFZCRVPY
28,-215.15842251088048,WUDUKYHWNNFNBOWMNKGKESWOSUGZQLH
30,-215.15842251088048,RIYITFJRUUGUEPRBUTMTAORPOIMSVLJ
31,-215.15842251088048,TYGYEWRTJJZJCNTBJELESUTNUYLKMPR
33,-215.15842251088048,WMBMOLZWFFCFPKWNFODOJUWKUMDGYXZ
35,-215.15842251088048,HKSKXOZHLLGLBNHALXJXUDHNDKJVPCZ
36,-215.15842251088048,CXPXTRYCGGQGJECWGTNTBMCEMXNLZAY
37,-215.15842251088048,XLYLFZVXSSTSQDXUSFWFJKXDKLWCORV
38,-215.15842251088048,CSESHVTCJJYJBFCUJHQHAGCFGSQMPNT
40,-215.15842251088048,GRYRTWLGBBUBISGNBTKTPDGSDRKVMQL
41,-215.15842251088048,GJBJKDOGSSASFLGRSKIKWUGLUJIZTCO
42,-215.15842251088048,CDWDPMTCQQUQBVCOQPSPJHCVHDSFEAT
43,-215.15842251088048,OMUMQIZOEEKERSOXEQPQNAOSAMPFGWZ
46,-215.15842251088048,IBMBZFKIRRDRJGINRZTZWEIGEBTUSLK
49,-215.15842251088048,RYMYDZORTTITFLRWTDPDUSRLSYPEQJO
50,-215.15842251088048,UVCVWJYUBBEBXRUABWGWKMURMVGQFSY
52,-215.15842251088048,QBDBGRYQIIZIXWQOIGAGJCQWCBAKFPY
53,-215.15842251088048,RIXIJQERKKCKDTRPKJWJVYRTYIWFULE
55,-215.15842251088048,CBFBMXUCQQKQIZCGQMWMNLCZLBWSHVU
60,-215.15842251088048,HKXKZYEHMMGMPDHCMZFZIVHDVKFNJOE
61,-215.15842251088048,KOHOFSYKLLJLQGKDLFAFTZKGZOANECY
66,-215.15842251088048,BZVZLXNBQQAQMPBRQLTLJIBPIZTYGSN
68,-215.15842251088048,EQNQRADEPPVPLIEWPRSROFEIFQSUZGD
69,-215.15842251088048,USLSDVWUAAQAENUCADPDJHUNHSPZOYW
71,-215.15842251088048,NMWMLJZNYYGYVUNDYLALORNURMAXTHZ
73,-215.15842251088048,BLSLYDQBTTKTCEBMTYAYFZBEZLAHOWQ
74,-215.15842251088048,ZDUDYRCZJJXJVAZNJYWYSOZAODWMHQC
76,-215.15842251088048,ITQTMZXIKKEKFUIOKMYMVLIULTYSACX
79,-215.15842251088048,TIPIJMVTCCDCGKTFCJOJWZTKZIORQLV
80,-215.15842251088048,YIZIJBMYPPFPQDYSPJWJROYDOIWAGEM
83,-215.15842251088048,DPWPXORDVVGVAZDEVXCXMBDZBPCKLNR
87,-215.15842251088048,PYNYVDSPRRFRHWPGRVXVMCPWCYXQAIS
91,-215.15842251088048,NVBVESANLLMLKTNRLEXEFUNTUVXIWCA
92,-215.15842251088048,WPTPXLAWZZOZYGWBZXMXQKWGKPMCJIA
93,-215.15842251088048,ZXMXOYFZQQVQDSZEQOJOPGZSGXJCNBF
94,-215.15842251088048,ZKJKGTSZVVOVBHZXVGPGQMZHMKPUNYS
95,-215.15842251088048,FJHJPNUFBBSBWCFEBPIPXQFCQJIZVLU
96,-215.15842251088048,RBNBGLYROOCOQKRPOGIGFJRKJBISAXY
97,-215.15842251088048,PLULAXRPGGBGWDPZGAYANIPDILYTSMR
98,-215.15842251088048,XURUJKEXVVMVGAXIVJYJZPXAPUYQBWE
99,-215.15842251088048,IDSDUTZIBBQBOWIPBUGUJAIWADGCXVZ
100,-215.15842251088048,EDFDXMPELLCLQNEVLXKXSYENYDKUTAP
102,-215.15842251088048,GCTCEABGKKYKQWGUKESEMOGWOCSXFJB
105,-215.15842251088048,GHPHYEKGMMLMJBGOMYXYAVGBVHXDSNK
106,-215.15842251088048,LIMIAQDLGGPGWOLNGAZAYSLOSIZBFXD
109,-215.15842251088048,JHWHCOIJLLDLRPJXLCZCVKJPKHZGSAI
110,-215.15842251088048,YZBZQKLYMMXMGFYJMQUQDSYFSZUHPAL
111,-215.15842251088048,UKBKIWFUPPGPNLUCPIEISTULTKEDQRF
112,-215.15842251088048,NYUYCHWNJJQJSPNOJCKCMVNPVYKIEAW
