restart,score,plaintext
222,-188.1736702327651,VOKOEWDVHHBHQGVIHERENMVGMORFLSD
223,-215.15842251088048,TDNDKOXTUUWUHFTEUKLKBYTFYDLVCJX
224,-156.3275806524071,HEREKVBHWWJWITHMWKXKAUHTUEXDOGB
225,-188.1736702327651,BJQJECSBHHYHDVBNHEREIOBVOJRKMLS
226,-188.1736702327651,HEREYVWHDDIDGJHPDYNYQFHJFENZKXW
227,-188.1736702327651,HEREFUSHZZMZGVHOZFJFWDHVDEJIQYS
228,-215.15842251088048,WLOLUAVWDDCDZFWEDUGUBRWFRLGPQNV
229,-215.15842251088048,JEKEWXFJUUZUHMJOUWPWTNJMNEPYQDF
230,-208.05796925088183,XDMDYZNXQQCQVFXAQYWYGEXFEDWTION
231,-215.15842251088048,QWCWNKZQPPGPVYQRPNANMLQYLWAXSFZ
232,-151.11947865596866,ZPLPEQCZHHDHUIZTHEREOMZIMPRJVAC
233,-163.31233293052253,RWFWITHREEAEPMRJEIBIZORMOWBCNGH
234,-188.1736702327651,QPMPELUQHHBHVWQCHERESIQWIPRYNDU
235,-208.2702992035826,TCPCIGHTDDSDFMTXDIZIOATMACZYBQH
236,-215.15842251088048,DGAGRJCDHHSHIVDFHRURQWDVWGUZXLC
237,-215.15842251088048,GULUWTVGNNXNRMGFNWDWBQGMQUDECKV
238,-215.15842251088048,QNJNFGWQDDUDETQMDFYFRXQTXNYIZVW
239,-215.15842251088048,LSBSPHVLQQXQCRLUQPTPAFLRFSTKMJV
240,-208.05796925088183,TKDKNJFTOOGOMETIONHNZYTEYKHPVAF
241,-215.15842251088048,UWEWMPDUTTSTRNUKTMVMBLUNLWVFJAD
242,-151.11947865596866,YUOUEPVYHHLHFXYTHEREINYXNURKQMV
243,-188.1736702327651,HEREAVKHWWZWLCHFWABADUHCUEBGYIK
244,-208.10423093408406,NEQEFPUNSSGSKTNZSFRFCHNTHERBAXU
245,-215.15842251088048,BGFGLZUBYYNYDSBTYLVLXJBSJGVMCEU
246,-215.15842251088048,IUXUPMZINNQNYBIENPWPDVIBVUWRJLZ
247,-215.15842251088048,OPGPJHDOQQWQYFOTQJNJRSOFSPNLKVD
248,-215.15842251088048,PCOCGKUPEEYESJPQEGAGIVPJVCARWMU
249,-188.1736702327651,HERECDSHUUPUKGHXUCFCIQHGQEFWMJS
250,-208.05796925088183,CHBHGLYCFFSFUJCAFGTGPVCJVHTIONY
251,-215.15842251088048,TZYZGMSTEEKEWLTCEGFGXNTLNZFOJVS
252,-188.1736702327651,HEREVOJHYYPYFZHNYVUVBQHZQEUKDAJ
253,-151.11947865596866,BWQWEMPBHHXHGSBTHERECKBSKWROVUP
254,-215.15842251088048,DVAVELMDCCBCYWDGCEPEURDWRVPSNKM
255,-188.1736702327651,NCXCEPONHHSHGYNWHERELZNYZCRQFVO
256,-215.15842251088048,DTNTCSZDQQMQPKDXQCACJWDKWTABYOZ
257,-215.15842251088048,KPUPWVDKHHCHJAKLHWBWGZKAZPBQRID
258,-215.15842251088048,NMCMJTQNBBOBEANZBJPJYKNAKMPLVFQ
259,-215.15842251088048,HPYPDGLHZZUZFKHXZDBDIQHKQPBNWSL
260,-215.15842251088048,SHJHXFWSTTPTMKSOTXYXGBSKBHYCVRW
261,-208.05796925088183,OQAQSHUOKKJKTIONKSRSPFOIFQRLBZU
262,-215.15842251088048,FEOEUQGFSSWSVCFLSUJUTDFCDEJXRZG
263,-215.15842251088048,CQMQDYHCOOUOFGCWODNDTZCGZQNVAKH
264,-215.15842251088048,LMGMNKVLUUCUQRLAUNWNXFLRFMWPYDV
265,-215.15842251088048,YXKXIGRYVVNVMFYCVIHIOLYFLXHPADR
266,-208.05796925088183,TNANPYRTVVCVGITWVPDPQOTIONDKSXR
267,-183.3123329305225,GKOKIJDGVVPVEXGSVIWITHGXHKWMFUD
268,-215.15842251088048,CJDJFXSCVVKVNACHVFTFOMCAMJTYLZS
269,-188.1736702327651,HERECFYHBBNBVWHTBCDCAZHWZEDKOMY
270,-215.15842251088048,AZTZWPLAJJNJKSARJWYWIQASQZYMBVL
271,-215.15842251088048,DFUFWOEDKKAKICDJKWNWLGDCGFNZSRE
272,-215.15842251088048,WIDIOQBWUUEUACWGUOMORPWCPIMXJVB
273,-208.05796925088183,GIAIYVSGZZFZWUGCZYOYJTGUTIONDLS
274,-215.15842251088048,MHGHCOPMUULUEXMWUCDCQTMXTHDZFNP
275,-208.2702992035826,QIAIJSYQFFEFBXQCFJGJPMQXMIGHTKY
276,-215.15842251088048,EMZMAWJESSOSFQEDSAUAIGEQGMULYHJ
277,-215.15842251088048,BVCVHKDBQQFQMSBYQHAHOGBSGVANTRD
278,-188.1736702327651,IWZWEKUIHHMHPCILHEREQOICOWRDGNU
279,-215.15842251088048,VBLBYSXVRRPRHGVTRYJYFKVGKBJNMCX
280,-151.11947865596866,JLDLEICJHHAHPKJTHEREFYJKYLRGVOC
281,-215.15842251088048,LUZUXGCLJJMJHALIJXRXNYLAYURDBFC
282,-215.15842251088048,CGUGXSRCNNYNTZCINXVXMECZEGVWQPR
283,-176.25814135372607,NTUTCLQNAAGAYWNVACHCSINWITHERKQ
284,-215.15842251088048,XWHWODUXAANAIBXGAOYOZKXBKWYJRQU
285,-183.31233293052253,IVDVFXEIHHZHCWITHFUFOJIWJVUBKNE
286,-215.15842251088048,AIGIJWOAYYSYMZAFYJKJRBAZBIKCXLO
287,-215.15842251088048,JSGSPCFJWWDWVAJKWPHPTNJANSHXOQF
288,-215.15842251088048,LZXZOQRLUUEUICLWUOJOVFLCFZJGBKR
289,-208.2702992035826,JRVRFSTJPPLPDBJQPFUFAXJBXRUIGHT
290,-215.15842251088048,ZTJTEOKZYYMYLBZWYEDERIZBITDQUVK
291,-188.1736702327651,HERESDLHJJPJKQHZJSVSWTHQTEVAMYL
292,-183.3123329305225,HALAWBYHVVNVQZHDVWUWITHZTAUGJXY
293,-215.15842251088048,FCJCUHXFYYTYOSFKYUPUMIFSICPBVAX
294,-151.11947865596866,IYOYEDBIHHKHQVITHEREXMIVMYRPUZB
295,-215.15842251088048,SYLYCFISOOUOKGSDOCWCVZSGZYWEBRI
296,-215.15842251088048,QGTGFHWQKKLKPCQJKFOFXMQCMGOSAYW
297,-215.15842251088048,MLDLERBMWWOWVCMQWEKEFTMCTLKAPZB
298,-188.1736702327651,BSKSEPGBHHXHYQBJHEREDMBQMSRIONG
299,-188.1736702327651,HEREBVDHUUCUGNHXUBIBSMHNMEIQOLD
300,-188.1736702327651,HEREDWAHQQJQCLHSQDVDUKHLKEVMNIA
301,-183.3123329305225,ZEQEVOHZJJNJCLZAJVMVPFZLFEMWITH
302,-188.1736702327651,HEREIZLHUUSUFJHNUIYIMDHJDEYPCOL
303,-188.1736702327651,HEREXADHBBIBWLHMBXQXSGHLGEQPZYD
304,-188.1736702327651,HEREAPKHIILIBQHCIAYADTHQTEYVFOK
305,-215.15842251088048,XQAQRTFXHHGHOLXBHRCRKDXLDQCNWSF
306,-119.27338907561068,ILZLEKPIHHXHAWITHERENYIWYLRUMQP
307,-215.15842251088048,VURUEPKVOOJOQFVSOEMEIBVFBUMYGLK
308,-208.05796925088183,TNGNPQCTXXZXVITAXPEPMOTIONEYJRC
309,-215.15842251088048,FCZCPIYFHHAHDUFBHPOPLKFUKCOGWQY
310,-215.15842251088048,UBFBHQNUJJMJLOUVJHPHCWUOWBPIAGN
311,-151.11947865596866,OZXZECYOHHAHQBOTHEREIFOBFZRPLNY
312,-188.1736702327651,HEREJDYHOOTOUBHAOJWJZIHBIEWLKQY
313,-215.15842251088048,LKMKEPYLWWOWQBLVWECEHGLBGKCUZAY
314,-208.05796925088183,FQSQYAVFRRJRKZFBRYTYEDFZDQTIONV
315,-183.3123329305225,QNLNZPFQYYXYKRQSYZWZOVQRVNWITHF
316,-119.27338907561068,ILPLEOMIHHNHFWITHERESCIWCLRDUQM
317,-151.11947865596866,LMDMEWJLHHFHAGLTHEREBCLGCMRPUXJ
318,-215.15842251088048,AJXJRDVAMMWMFKAZMRSRLGAKGJSHQUV
319,-208.2702992035826,TZKZIGHTDDYDAQTPDILIUFTQFZLMXCH
320,-183.3123329305225,YDUDILKYSSPSEGYXSIWITHYGHDWQCVK
321,-215.15842251088048,LGJGZCULQQKQFNLSQZIZAHLNHGIVYXU
322,-215.15842251088048,HKVKNWUHTTXTYZHRTNJNCBHZBKJPGQU
323,-215.15842251088048,QRURYTVQIISIWJQXIYEYPNQJNREDCKV
324,-188.1736702327651,HEREQSGHLLZLKMHVLQBQYFHMFEBWCUG
325,-215.15842251088048,AIWIYZVAPPOPGMAEPYUYQBAMBIURFDV
326,-215.15842251088048,SJEJBKFSYYAYRVSIYBWBTDSVDJWPXMF
327,-208.05796925088183,NMYMEVWNTTCTIONSTEUEADNODMURJXW
328,-215.15842251088048,FYPYRHMFJJZJSLFQJRTRUOFLOYTXCAM
329,-181.07321697276643,HEREOMZHIIAIVGHTIONOSCHGCENBLUZ
