generation,score,plaintext
158,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
159,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
160,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
161,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
162,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
163,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
164,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
165,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
166,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
167,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
168,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
169,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
170,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
171,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
172,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
173,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
174,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
175,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
176,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
177,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
178,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
179,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
180,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
181,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
182,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
183,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
184,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
185,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
186,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
187,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
188,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
189,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
190,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
191,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
192,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
193,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
194,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
195,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
196,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
197,-119.27338907561068,IULUEVJIHHZHBWITHEREQGIWGURSYDJ
