restart,score,plaintext
240,-188.1736702327651,ESRWJFEGKHQALFPGFRNQGBDWROOHERE
256,-188.1736702327651,ELROUWEDMHBCVWQDWRPBDNXORIIHERE
259,-188.1736702327651,EZRQPNECKHVBDNUCNRLVCIFQRGGHERE
261,-188.1736702327651,ENRGWKEPFHYJOKZPKRBYPCUGRSSHERE
263,-188.1736702327651,EJRUQSEDMHLVBSGDSRALDPIURKKHERE
275,-188.1736702327651,EIRYKDEOUHMXPDZODRFMOVJYRWWHERE
283,-188.1736702327651,EXROJYEKFHPIZYWKYRUPKVBORSSHERE
310,-188.1736702327651,EBRPKYEXDHOUWYQXYRIOXMFPRSSHERE
320,-188.1736702327651,EARGMBEKFHIZQBUKBRLIKPVGRWWHERE
323,-188.1736702327651,EVRNDBEIAHFUMBOIBRKFIWZNRPPHERE
331,-188.1736702327651,EBRIPVEJAHQGWVMJVRXQJFOIRNNHERE
332,-188.1736702327651,EGRJSKEUWHFINKMUKRYFUQDJRAAHERE
339,-188.1736702327651,EKROMQEFAHBJLQDFQRSBFCNORZZHERE
359,-188.1736702327651,EZRLBUEWPHANXUVWURKAWDQLRSSHERE
368,-188.1736702327651,EDRJFXEQAHGBWXLQXRZGQUVJRIIHERE
380,-188.1736702327651,EKRJYDEFIHMPLDXFDRCMFBQJRSSHERE
383,-188.1736702327651,EBRXNAEOYHSDGAMOARZSOCIXRPPHERE
389,-188.1736702327651,EYRLNOEXFHMDVOPXORUMXJCLRBBHERE
395,-188.1736702327651,EVRLIDEJPHBWGDYJDRNBJKCLRSSHERE
399,-188.1736702327651,EBRMODEKWHJPGDSKDRVJKZUMRFFHERE
400,-188.1736702327651,EFRCUIEOQHJABIZOIRGJOXLCRPPHERE
407,-188.1736702327651,EQRNKWEIOHBSYWAIWRGBIPFNRUUHERE
409,-188.1736702327651,EFRAPSELUHJQKSYLSRDJLVBARXXHERE
420,-188.1736702327651,EORAPMEBJHDCNMYBMRKDBVLARXXHERE
422,-188.1736702327651,EPRSVYELAHQGCYDLYRXQLUNSRKKHERE
423,-188.1736702327651,EMRDXLEPWHQZBLVPLRUQPNYDRJJHERE
442,-188.1736702327651,EYRVIQEUJHPFMQXUQRZPUCDVRAAHERE
451,-188.1736702327651,EORGLWESQHPUJWISWRAPSKVGRFFHERE
471,-188.1736702327651,EURFAMESOHWDIMKSMRJWSCNFRYYHERE
478,-188.1736702327651,EGRPMUEVSHCYAUDVURLCVZFPRNNHERE
485,-188.1736702327651,EQRFPIEDBHCWAIKDIRUCDNGFRJJHERE
488,-188.1736702327651,EIRUZBEAOHGXNBCABRVGAJQURSSHERE
493,-188.1736702327651,EPRSMNEXWHKZONAXNRDKXCQSRBBHERE
497,-188.1736702327651,EARNGKEJPHLBTKOJKRVLJSINRQQHERE
208,-195.15842251088048,JARHZXJCNOWMVXDCXRUWCKTHREEOJRJ
286,-195.15842251088048,APRHSKAXWDGQVKNXKRLGXOTHREEDARA
301,-195.15842251088048,DNRHXIDVJCOPBIMVIRKOVGTHREECDRD
304,-195.15842251088048,FPRHYLFGZJKISLNGLRQKGOTHREEJFRF
475,-195.15842251088048,LFRHVALQKCDJPAXQARYDQZTHREECLRL
144,-201.0037776740854,MXTHERMNQYOCJRSNRTIONVGHTBBYMTM
239,-201.0037776740854,CDASKRCILBTHERJIRAMTIONSAPPBCAC
