restart,score,plaintext
139,-188.1736702327651,HEREINUHSSASKMHDSIQIBZHMZEQJYPU
140,-188.1736702327651,SLBLEVJSHHQHXGSZHEREWYSGYLROUIJ
141,-188.1736702327651,NFOFESQNHHIHWXNJHEREBPNXPFRVCUQ
142,-215.15842251088048,JSVSRBPJNNONQEJFNRXRTCJECSXLDKP
143,-215.15842251088048,RPZPVFBRLLILJDRULVEVONRDNPEYCXB
144,-215.15842251088048,AGCGUJDAVVBVZQAEVUIULMAQMGIKTOD
145,-208.05796925088183,NDRDECSNTTATIONKTEMEVXNOXDMFPZS
146,-188.1736702327651,NMIMEJONHHXHUBNVHERESLNBLMRKZDO
147,-208.05796925088183,MDGDOFQMIIBIXJMTIONOPKMJKDNYUEQ
148,-215.15842251088048,SNENRFUSVVZVWTSJVRPRKISTINPGCYU
149,-183.3123329305225,KNRNDQHKGGOGZSKJGDLDYUKSUNLWITH
150,-215.15842251088048,ENGNKOVETTRTQPEATKYKFLEPLNYJBWV
151,-208.05796925088183,MIJIAEDMLLXLYGMSLAOAQTMGTIONKWD
152,-215.15842251088048,ZFJFQPSZYYCYDEZIYQBQOMZEMFBNWRS
153,-188.1736702327651,AQVQENBAHHFHPUAMHEREIGAUGQRDSWB
154,-215.15842251088048,OCUCBFRONNDNVLOXNBYBAPOLPCYZSQR
155,-215.15842251088048,WXSXCEZWAABANKWJACQCFMWKMXQHGTZ
156,-215.15842251088048,GFCFENZGDDMDQLGADEPEUKGLKFPWRVZ
157,-215.15842251088048,OGNGABCOUUYUSVOHUAQAIDOVDGQFKRC
158,-215.15842251088048,QPFPORWQUUNUHSQVUOBOKIQSIPBDAMW
159,-215.15842251088048,ACPCRXVADDLDUOAKDRSRWJAOJCSFEQV
160,-208.05796925088185,KITIONMKUUSUJZKDUOFOHCKZCIFAPVM
161,-215.15842251088048,DCWCAKEDRRURPBDTRAMAZSDBSCMQNYE
162,-151.11947865596866,WSCSEJXWHHQHVOWTHEREAFWOFSRYBLX
163,-215.15842251088048,GZCZANSGHHJHEVGMHATAPLGVLZTQDOS
164,-215.15842251088048,RUBUCIJRAAZAFVRWACOCNERVEUOGXSJ
