restart,score,plaintext
107,-208.05796925088185,TIONRSTFUXBLESZFSOJBFQANOMMXTOT
108,-215.15842251088048,BYNKXIBCWLUQOIMCINDUCHAKNJJLBNB
109,-215.15842251088048,XNRLFBXGWTAUZBSGBRIAGPJLRMMTXRX
110,-215.15842251088048,LMOFHULCRKWNXUDCUOAWCBIFOZZKLOL
111,-183.31233293052253,ICJNBWITHMZSGWATWJUZTPFNJEEMIJI
112,-183.3123329305225,XFTIJBXRZLCDSBGRBTMCROWITHHLXTX
113,-215.15842251088048,EOSYLZEQRVXBDZTQZSKXQWCYSGGVESE
114,-215.15842251088048,SDAWJPSNRTVZLPINPABVNEGWACCTSAS
115,-188.1736702327651,EFRMXNEIAHDWYNVINRGDISBMRZZHERE
116,-151.11947865596866,ENRJQLEMYHAUDLGMLRFAMKBJRTTHERE
117,-215.15842251088048,OAPSLCOWXKJNUCQWCPMJWHGSPVVKOPO
118,-183.3123329305225,XGVNOEXTUPIJZEYTEVWITHKNVSSPXVX
119,-183.31233293052253,WARUBDWITHJMFDQIDRCJIXOURVVHWRW
120,-208.05796925088183,CJSPZDCOVGIQADUODSTIONLPSBBGCSC
121,-208.05796925088183,WZSNERWTUVCGARQTRSJCTIONSBBVWSW
122,-215.15842251088048,YVFXTQYWSAOCJQGWQFROWIMXFUUAYFY
123,-208.05796925088183,YLNCJOYIDPHGEOTIONKHISQCNAAPYNY
124,-215.15842251088048,ZTIUYKZVABQRXKCVKIPQVWSUINNBZIZ
125,-208.10423093408406,YJHCLTYWXFROUTDWTHERWZPCHVVFYHY
126,-208.10423093408406,XZLBGEXISDUTHERIELOUIJCBLMMDXLX
127,-208.10423093408406,WZCYFEWSAXDTHERSECMDSJUYCKKXWCW
128,-215.15842251088048,KWMCNZKQSUHFEZJQZMYHQXDCMPPUKMK
129,-188.1736702327651,EQRGXVEFJHAIZVYFVRCAFNSGRUUHERE
130,-215.15842251088048,INAGRJIZKVMUOJCZJABMZXPGAEEVIAI
131,-215.15842251088048,OFUCKSOVEDZQBSAVSUIZVHPCUTTDOUO
132,-215.15842251088048,WENVYGWSPAMTIGRSGNBMSULVNKKAWNW
133,-215.15842251088048,XLSCAFXOWMBZPFHOFSGBOIUCSKKMXSX
134,-215.15842251088048,XPBVJHXNKDQYWHENHBCQNLFVBOODXBX
135,-215.15842251088048,WFYBNHWLXSJZQHOLHYKJLPRBYAASWYW
136,-188.1736702327651,EPRCJMEFQHKVUMWFMRBKFONCRYYHERE
137,-215.15842251088048,COJRVFCDPXGWYFQDFJTGDKHRJUUXCJC
138,-151.11947865596866,EDRNPVEMKHWAIVBMVRZWMLCNRTTHERE
139,-215.15842251088048,RUFXALRPHWNOVLYPLFJNPQTXFKKWRFR
140,-215.15842251088048,YCNZGQYFIVJDHQAFQNKJFRUZNMMVYNY
141,-188.1736702327651,EXRLFNEZMHUKQNVZNRAUZBDLRWWHERE
142,-188.1736702327651,EMRPZKEGOHBSLKWGKRQBGCNPRDDHERE
143,-215.15842251088048,VBORTSVFJPNLQSAFSODNFWCROYYPVOV
144,-201.0037776740854,MXTHERMNQYOCJRSNRTIONVGHTBBYMTM
145,-215.15842251088048,EZORCVEAWUGXNVPAVOBGAIJROSSUEOE
146,-188.1736702327651,EQRAFMEYWHLVOMIYMRSLYCDARNNHERE
147,-208.05796925088183,YCIVUTYMARNEFTPMTIONMBWVIXXRYIY
148,-215.15842251088048,WOKPQZWBYULHAZTBZKVLBDEPKNNUWKW
149,-215.15842251088048,BKZXWJBOILGUQJSOJZFGOHEXZCCLBZB
150,-215.15842251088048,XQUWVFXEHIAMOFYEFUCAESPWUZZIXUX
151,-188.1736702327651,EFRNXQESIHCMDQKSQRLCSVBNRPPHERE
152,-188.1736702327651,EFRABDEUVHSOTDXUDRPSULKARQQHERE
153,-151.11947865596866,EPRNCQEOZHXDBQLOQRKXOVMNRTTHERE
154,-215.15842251088048,WDJBTKWSOCLRGKFSKJXLSNYBJHHCWJW
155,-208.10423093408406,CUEMJHCTDFOGVHZTHEROTXNMEKKFCEC
156,-208.05796925088183,XJIQGTXVKANRMTBVTIONVCFQISSAXIX
157,-215.15842251088048,SQCBLESFGWZONEUFECMZFHPBCTTWSCS
158,-215.15842251088048,TVWZLMTGPXBCAMYGMWNBGQKZWDDXTWT
159,-215.15842251088048,ZGHLTCZDWNRUJCPDCHORDYFLHXXNZHZ
160,-183.3123329305225,CJZHPFCWEYVMAFXWFZSVWITHZLLYCZC
161,-176.2581413537261,IKMJFWITHERCNWSTWMLRTUVJMYYEIMI
162,-183.31233293052253,IDCUPWITHZKYMWNTWCAKTQVUCBBZICI
163,-215.15842251088048,NQXWZMNDPLSTCMBDMXASDFVWXKKLNXN
164,-215.15842251088048,NAYBUCNQVERKZCSQCYFRQMLBYJJENYN
165,-163.3123329305225,GSRHAQGWVLPXJQUWQRCPWITHREELGRG
